A_id,B_id
163,4515
31,858
3927,4515
1331,1085
1481,4424
2185,4515
3069,4515
3117,4515
128,4515
845,4515
1611,4515
3992,3975
62,4515
92,4515
2116,4515
3804,2681
713,4515
2071,4515
2568,4515
3229,4515
1097,4515
3920,4628
477,4515
3702,4515
1034,5353
3133,4515
3939,4515
440,5429
1920,4515
3555,4515
101,4515
2212,1241
1400,3656
3523,4515
1148,4383
13,2516
4531,4515
1054,939
2101,4515
1476,3541
2902,4515
2039,4515
4125,3425
1481,4685
594,4515
1640,4515
3117,5302
1394,2012
2040,2038
3639,4515
2864,4515
1506,1495
608,2375
3826,4515
1099,4515
630,4515
3391,4515
2595,4515
4661,4515
377,4515
3666,4515
1522,63
2500,1359
4361,4515
1321,232
478,3851
1136,5023
2048,4515
2043,2255
1405,4515
2252,4515
2292,4515
3368,4515
3562,3634
4025,4515
1064,4515
2282,4299
1458,4515
739,4515
32,4515
2994,4515
2844,4515
2837,4515
1780,4515
3518,3522
3793,662
350,4515
1012,4446
2267,4515
608,4515
3407,4515
1350,4515
2673,4493
3849,4515
2747,4515
1746,2864
4369,4515
1720,4996
2762,4515
4734,4515
1761,3858
977,4515
3020,4515
2319,4515
3170,4515
2051,4515
2486,4515
2265,4515
1603,4515
1506,5414
3493,4515
4161,4515
4111,4515
1702,4832
2136,4515
690,4515
2119,55
2960,4515
1837,3557
3527,4853
2881,4515
960,2094
1433,4515
932,4515
3920,4628
1199,3713
6,4515
2051,4850
3730,4515
1375,4560
1892,4515
1609,1200
743,3297
4669,4515
1545,4515
110,4515
4318,4515
2531,4515
1650,4183
1722,0
740,4515
127,4515
4189,4515
1156,4515
1311,3557
1071,4515
4417,4515
4523,4515
3430,4515
406,4607
975,4888
2207,4862
4173,4515
1116,4515
1897,4383
4198,4515
2982,4515
2290,0
474,4515
1888,3312
1609,2338
2536,4515
1969,4515
1354,4711
3971,4515
3004,4515
497,4515
1279,2702
2593,3622
3879,4515
3571,4557
1606,4515
3888,4515
314,4515
1233,4188
4041,4515
2205,3788
1593,5072
1672,4112
3224,4515
3661,4515
2003,4515
2349,4515
3624,4515
3556,3353
2313,4515
1099,3622
100,3055
3360,4515
2866,3622
691,4515
2119,4515
921,4515
625,4515
1234,4515
2974,5239
1697,4515
1461,4515
1837,3656
2143,4515
4751,4515
951,4515
197,4515
915,4515
4442,4515
1082,4490
1354,4674
30,636
3188,4515
4145,4515
3562,4515
1086,4515
2027,4515
2965,4515
2535,4515
2156,4515
2086,4515
1699,3761
1324,4515
33,4515
2231,4515
708,4515
3412,4515
1609,1870
3409,4515
1398,4515
3853,2671
2676,4515
3853,2671
2165,4515
3903,4515
382,3840
1609,2448
4202,4515
743,4515
242,4515
1696,4515
3922,4515
1731,4515
2778,4515
1302,4515
453,4515
4517,4515
2258,4515
2554,4515
1627,4515
2810,4357
1280,4515
3254,4515
3386,4515
1559,4515
2500,3312
2876,714
993,4515
2225,1490
3893,4515
2667,4515
388,4515
44,4515
2131,4515
4102,4515
2525,4515
871,4515
1792,5205
947,4515
4352,4515
3601,142
3976,4515
4410,4515
2482,4515
1434,726
1609,647
771,4515
3695,4515
3963,4193
1417,762
1148,4406
3390,4515
1759,4433
361,4515
