id,A_id,B_id
1104,1529,3865
1105,1672,4959
1106,2107,2990
1107,1886,4070
1108,1200,3627
1109,397,4515
1110,1837,4711
1111,2313,2990
1112,1728,4291
1113,1208,2770
1114,1496,3884
1115,1678,4163
1116,1720,4996
1117,1481,3925
1118,1519,4515
1119,3603,698
1120,3970,4515
1121,1082,4474
1122,4131,4515
1123,4583,4527
1124,873,4515
1125,2007,4383
1126,891,4515
1127,582,4515
1128,1653,2338
1129,3718,3999
1130,2237,2749
1131,1453,4515
1132,1222,4277
1133,2224,4515
1134,2556,895
1135,935,4362
1136,1170,2548
1137,3198,5404
1138,1983,1271
1139,2045,352
1140,3837,4515
1141,3643,4515
1142,1457,586
1143,2546,4667
1144,1208,1606
1145,1621,4383
1146,2271,4515
1147,1969,680
1148,2500,1092
1150,979,1201
1151,4032,2974
1152,3928,4515
1153,68,2416
1154,858,4515
1155,3878,2911
1156,3106,4515
1157,1529,4850
1158,3359,3407
1159,1630,4733
1160,1474,1321
1161,3004,5417
1162,3556,3353
1163,2636,4515
1164,846,4201
1165,1467,3084
1166,2295,4647
1167,2537,4515
1168,2323,4954
1169,783,4515
1170,4068,5296
1171,2496,722
1173,4649,4515
1174,2471,2904
1175,3885,4515
1176,330,5338
1177,2463,4082
1178,2067,4340
1179,1561,4085
1181,1859,4005
1182,2974,5239
1183,3963,4193
1184,2772,2990
1185,2248,1705
1186,3452,2957
1187,2284,5437
1188,3586,1754
1189,1823,4515
1190,2130,4118
1192,135,905
1193,1835,3959
1195,1254,4850
1196,527,4515
1197,1249,647
1198,1820,4563
1199,3023,4515
1200,4124,4515
1201,4150,4114
1202,3446,4515
1203,2232,4776
1204,3945,4515
1206,2315,4515
1207,1978,3731
1208,1638,4830
1209,1277,4850
1210,1610,617
1211,2895,4320
1212,3592,2094
1213,1725,4035
1214,3664,2764
1215,1919,807
1216,1394,647
1217,932,1726
1218,1728,4445
1219,1672,4228
1220,3467,1336
1221,1170,2543
1223,1004,4730
1224,1863,4029
1225,1400,3541
1226,959,4856
1227,2629,4515
1228,636,4515
1229,1978,4515
1230,1888,2770
1231,1926,2643
1232,3074,5290
1233,1999,4043
1234,3408,4515
1235,361,4515
1236,3684,4871
1237,277,484
1238,2260,3557
1239,1814,4438
1240,3963,4515
1241,2323,4714
1242,1434,726
1243,1837,3557
1244,882,4515
1245,877,2731
1246,1621,3976
1247,721,5342
1248,296,2183
1249,995,5205
1250,2590,4456
1251,1769,3580
1252,1793,4165
1253,1964,4515
1254,2447,4936
1255,2666,4594
1256,3408,1530
1257,1433,3865
1258,3686,4311
1259,1432,5022
1260,2978,4515
1261,674,4515
1262,1593,1870
1263,2409,4515
1264,2903,341
1265,2711,4515
1266,1573,4587
1267,1506,5414
1268,2282,4299
1269,2463,4515
1270,4697,4515
1271,1573,3541
1272,1082,4490
1273,1963,3393
1274,3971,4515
1275,1529,1295
1276,3902,2833
1277,3647,4515
1278,1818,4826
1279,2225,1059
1280,1139,4675
1281,2179,4515
1282,2084,4455
1283,827,4515
1284,4739,4515
1285,204,4515
1286,2774,4383
1287,930,2711
1288,1415,4515
1289,2575,4515
1290,2286,4600
1291,2784,3672
1292,1351,2990
1293,47,3910
1294,2204,4515
1295,1683,5047
1296,1709,10
1297,1813,605
1298,73,2912
1299,931,3530
1300,1488,4515
1301,3771,1133
1302,51,1893
1303,2167,3409
1304,915,4515
1305,385,2518
1306,4136,3130
1307,1710,4758
1308,3415,4515
1310,1678,1004
1311,2281,5081
1312,73,2911
1313,1917,2313
1314,499,3510
1315,279,3079
1316,2500,1359
1319,3705,4515
1322,1128,3797
1323,2231,4175
1324,1417,3962
1325,2863,4515
1326,3665,5341
1328,1400,4031
1329,2894,4515
1330,1028,4958
1331,1831,3956
1332,2162,5452
1333,1328,154
1334,1609,5072
1335,94,2772
1336,2177,4206
1337,2463,2904
1338,1675,1749
1339,1249,2338
1340,3590,4515
1341,2291,4515
1342,780,4515
1343,2137,3521
1344,274,4515
1345,995,1318
1346,2899,18
1347,1585,4059
1348,1554,4515
1349,4120,3202
1350,4153,4137
1351,1699,4667
1352,592,4515
1353,3029,4515
1355,1337,4589
1356,1593,2338
1357,441,3650
1358,4080,1731
1359,3422,4515
1361,1277,4646
1362,1837,4674
1363,1245,3803
1364,1637,4077
1365,776,4212
1366,2063,5277
1367,226,3903
1368,1019,1845
1369,2225,1318
1370,1898,1027
1371,2490,4515
1372,1609,72
1373,1328,4394
1374,1218,5282
1375,3948,2865
1376,1405,4515
1377,247,4515
1378,1481,3977
1379,1345,1059
1380,2299,4515
1381,3715,3249
1382,2225,1004
1385,1529,4092
1386,1519,4667
1387,3087,3149
1388,2323,4474
1389,21,3481
1390,1007,1260
1391,1313,5360
1392,1593,3685
1393,1678,1318
1394,1777,4515
1395,4078,2186
1396,3598,1355
1397,3714,4515
1398,2323,3914
1399,1989,4224
1401,2922,1894
1402,2939,703
1403,3181,4515
1404,1277,4362
1405,2260,4406
1406,1311,3557
1407,2225,1490
1409,650,4515
1410,1621,4406
1411,1214,4092
1412,757,4515
1414,2571,1558
1415,1858,1027
1416,562,4593
1417,3384,4515
1418,1037,3803
1419,3881,4832
1420,959,3898
1421,1476,3541
1422,1082,4183
1423,1216,3883
1424,2502,3528
1425,3446,3986
1426,1433,4111
1429,2258,4515
1430,2425,4515
