A_id,B_id
1017,4360
649,4515
4139,4515
931,3530
1532,4515
2936,4515
1638,4515
4751,4515
240,4515
1656,4515
935,3865
1785,4515
1762,5374
3346,4515
4010,4515
2887,4515
532,4515
2257,1722
483,4515
280,4515
1214,4850
392,4515
376,5114
2257,4515
3943,4515
1585,4059
1672,76
444,4515
3670,4515
4425,4515
1218,4515
4470,4515
402,4515
4504,4515
709,4515
1774,719
3826,4515
2119,4515
3166,4515
4275,4515
3859,4515
1176,4708
3556,4515
1573,3541
3744,630
4168,4515
4303,4515
4107,4515
2062,136
3716,1851
1725,3845
2323,4490
1354,4711
1690,4515
959,4515
3514,4515
4145,4515
3666,4515
2432,4515
634,4620
3639,4515
649,4287
4231,4515
549,4515
1393,4515
1012,4446
1614,1318
1573,4587
2809,4515
1689,3815
2934,4515
396,4553
2203,4863
1254,4850
1887,4515
2265,1591
1233,4515
2199,4307
3635,4515
1606,4515
2345,4515
1937,4515
2681,4515
1621,4406
4007,4515
1675,1749
4745,4515
758,1235
258,4515
1560,4515
4424,4515
2042,4515
1736,328
1062,4515
4642,4515
1500,4515
92,4515
685,495
3040,4515
3442,4515
1637,4077
1714,864
766,4473
1028,4515
1253,4851
790,4515
4238,4515
4359,4515
3025,4515
148,4515
1366,4386
3660,4515
1971,4644
1314,4515
2244,4515
11,4515
1221,332
2496,4515
3837,4515
4632,4515
1982,4515
1124,4515
1971,4515
935,4646
2367,4515
1837,4674
177,4515
1699,3761
1529,4850
1820,4515
1387,6
4134,4515
2828,4515
3573,455
1548,4515
1961,4515
2075,1182
2391,4400
1351,2990
2031,1366
4661,4515
1743,4757
4052,5076
1938,4515
646,4515
2677,4515
2978,4515
1905,197
4271,4515
3963,4193
1023,591
4526,4515
995,4515
1716,589
3342,4515
1619,1095
976,4515
3722,4453
4693,4515
1387,4515
981,585
2593,3883
3731,4515
2499,4515
2280,3089
1216,3622
644,4515
3106,4515
1725,4515
3028,4515
4199,4515
2293,4515
3093,4515
1817,4515
3162,4515
4436,4515
1406,3408
167,591
3815,487
1440,4515
3532,4515
1438,4515
1981,4515
4120,4515
2769,4515
1277,4362
3749,4515
530,820
1354,3557
2962,4515
3117,5302
4387,4515
1876,2604
2057,3343
844,4515
1854,4515
632,4515
935,4111
1851,4515
1108,4515
1619,4515
2463,2904
2365,4092
3841,4515
4161,4515
1897,4383
4412,4515
3102,4515
3095,4515
1175,4515
4356,4515
66,4515
368,3926
2516,4515
3364,4515
383,3658
2136,4515
2832,1363
3217,4515
4204,4515
3360,4515
2322,4515
4664,4515
3020,4515
4726,4515
4155,4515
3920,4627
2323,4644
4681,4515
4305,4515
1028,4958
4289,4515
1654,4515
2907,4515
2881,4515
100,3055
926,4515
2652,4515
1054,939
1696,4515
3291,4515
1090,4515
3558,4515
1082,4796
1630,4515
1333,4515
2217,4515
2803,4515
2486,4515
2768,4515
3408,1530
1985,1708
761,397
833,4515
1792,5205
562,4606
3311,4515
1634,4515
1406,3408
3155,4515
1161,4881
3068,599
1186,94
1761,5286
2992,4515
2939,4515
3954,4368
2277,4515
4066,4515
1340,4515
758,4515
1328,154
206,4515
3173,4515
4668,4515
818,4515
51,1893
1689,3555
176,2416
1579,1328
3198,5404
2142,4515
1234,4515
3029,4515
3051,4515
68,4515
3974,4515
3462,4515
592,4515
2571,1558
935,3845
3546,4515
2870,4515
932,4515
4407,4515
485,4515
1689,4077
4294,4515
847,4515
3929,4515
3379,4515
2863,4515
1333,5429
729,3842
2118,3499
3159,4515
348,4515
3718,3999
2471,4515
289,4515
2667,4515
2190,4092
2231,4175
2545,4515
2590,4456
2101,4515
1237,4515
2605,1439
239,2951
1151,58
2349,4515
2396,4515
1217,4515
4380,4515
4417,4515
2798,4515
711,4515
1621,4383
779,4515
1792,567
4724,4515
3133,4515
2020,4515
3665,5341
2766,4515
3085,4515
141,4515
1462,4515
1653,647
1912,4515
1141,4911
3903,4515
683,4515
4575,4515
2810,4357
3961,4515
3083,4515
232,4515
4166,4515
2266,4515
2323,4297
1151,4515
2027,4515
2205,3788
3138,4515
960,2094
2225,1059
3086,4515
3044,4515
4026,137
3125,4515
3471,4515
871,4515
4056,5026
1708,4774
1709,4515
2645,4515
1902,4515
1456,4515
234,4515
4265,4515
3282,4515
4626,4515
4528,4515
3559,4515
3785,4515
1004,4515
761,4515
737,4515
1792,1059
3483,4515
1683,5047
3430,4515
684,4515
1127,4515
67,4515
2515,4515
4160,4515
2286,4600
4679,4515
2046,4912
3580,4515
2119,55
1609,72
2000,870
3836,4515
2463,4082
2899,18
2733,4515
1515,4515
974,4515
1964,4515
2500,726
3636,2040
113,4515
2207,4903
3817,4515
1395,4515
4345,4515
2184,4515
3998,4515
2157,4515
2880,4515
3810,346
3212,4515
4131,4515
239,4515
1014,1805
2575,4515
1007,4515
499,3510
2632,3235
2953,4515
1609,130
278,1738
3518,4515
3100,4515
4033,4971
3182,4515
3323,4515
3829,4515
3070,4515
924,4515
1837,4515
1080,3622
478,4515
3319,4515
1834,4515
2849,4515
1974,4515
4609,4515
3169,4515
533,4515
2261,1787
3180,4515
625,4515
1166,4515
4650,4515
3944,701
1377,4515
347,4515
2751,4515
2337,4515
2039,4515
4012,4515
2271,4515
1858,1027
1978,3731
1356,4515
3969,4967
2824,4515
3098,1549
1738,4814
2304,3444
858,4515
4207,4515
2313,2990
3287,4515
1699,4600
910,2157
1837,4383
2784,3672
608,2375
2682,4515
150,4515
1593,647
3850,4515
4704,4515
3498,4515
2937,4515
1252,4515
1573,3820
1529,4362
896,4428
399,4515
1170,2544
3562,4515
931,4850
1614,1004
601,4515
3550,4515
4121,4515
2024,4515
4011,4515
2145,3057
1205,4515
4153,1981
3250,4515
1014,4515
1831,4623
1534,4515
721,5342
19,4515
260,4515
2437,4515
3977,4515
1966,4515
3247,4515
3503,4515
1275,4515
3923,4515
3297,4515
1170,2550
828,4515
2391,4782
2181,4515
2294,873
1085,4515
725,4515
3793,662
322,4515
1769,4102
4423,4515
1938,1157
4472,4515
2387,4515
1991,4515
1610,4515
3105,4515
1954,4515
2145,4428
1233,4188
764,4515
3851,4515
2449,4515
1828,4515
1554,4515
3369,4515
1990,4048
3378,4515
433,4515
2212,786
2692,4515
3953,4515
3426,4515
3001,4515
1383,4515
3517,4515
2084,4515
2720,4515
1345,1059
4115,4515
1976,4515
1638,3782
1316,2589
3979,4515
2323,4183
1987,775
1603,4515
885,4515
3484,4515
989,3596
1983,1271
4525,4515
334,4515
3863,4515
2496,722
2337,4415
1337,4515
3582,4515
2038,4515
4502,4515
3295,5099
1148,4406
2940,4515
1031,4515
356,4515
1293,4515
3414,4515
4138,4515
406,4607
377,4515
4263,4515
1365,4515
3197,4515
2017,4515
1154,4515
3113,471
1264,4515
2260,4711
3376,4515
3050,4515
4675,4515
3338,4515
1832,4515
1343,4515
1984,4515
437,4515
4081,4515
3590,4515
4058,4515
2512,4515
4616,4515
1621,3976
1036,3501
4607,4515
4532,4515
229,5168
1279,4330
434,4768
4383,4515
423,4515
1930,4515
2041,4515
3784,4515
4132,4515
1246,4515
1904,4515
1731,4515
1985,4515
1514,4515
2116,4515
1710,3526
720,3674
3825,3508
2283,4515
1816,1823
4720,4515
3842,4515
56,4515
344,4515
1581,4515
1132,4515
1487,4515
2737,4515
3415,3818
2921,4515
1818,4826
405,4515
1421,4515
1389,4712
1254,4092
4640,4515
3564,4515
736,1020
4729,4515
