,authors,book_format,cur_price,isbn13,old_price,pages,product_dimensions,publication_date,publisher,title
3923,Kathie Lee Gifford and Rabbi Jason Sobel ,Paperback,$27.99,9780310095040,$41.99,123.0,6 x 1 x 9 inches,06/26/18,Thomas Nelson; Study Guide edition,"The Rock, the Road, and the Rabbi Study Guide with DVD: Come to the Land Where It All Began"
3924,Samantha Allen ,Hardcover,$17.70,9780316516037,$27.00,320.0,6 x 1.1 x 8.6 inches,03/05/19,"Little, Brown and Company",Real Queer America: LGBT Stories from Red States
3925,"Frank McCourt , Brooke Zimmer, et al. ",Paperback,$10.01,9780684842677,$17.00,368.0,5.5 x 0.8 x 8.4 inches,05/25/99,Scribner; 1st Touchstone Edition 1999 edition,Angela's Ashes: A Memoir
3926,John Howard Griffin and Robert Bonazzi ,Paperback,$8.99,9780451234216,$9.99,208.0,4.2 x 0.6 x 7.6 inches,10/20/10,Berkley; Anniversary edition,Black Like Me
3927,Ree Drummond ,Paperback,$9.73,9780061997174,$15.99,352.0,5.3 x 0.8 x 8 inches,02/14/12,William Morrow Paperbacks; Reprint edition,The Pioneer Woman: Black Heels to Tractor Wheels--a Love Story
3928,Gregory Boyle ,Paperback,$8.79,9781476726168,$16.00,224.0,5.5 x 0.5 x 8.4 inches,09/18/18,Simon & Schuster; Reprint edition,Barking to the Choir: The Power of Radical Kinship
3929,"Ernest Hemingway , Sean Hemingway, et al. ",Paperback,$10.87,9781439182710,$16.00,256.0,5.5 x 0.8 x 8.4 inches,07/20/10,Scribner; Reprint edition,A Moveable Feast: The Restored Edition
3930,Maya Angelou ,Paperback,$14.45,9780812980035,$17.00,192.0,5.1 x 0.5 x 8 inches,10/27/09,Random House Trade Paperbacks; First Trade edition,Letter to My Daughter
3931,Jaycee Dugard ,Paperback,$9.60,9781451629194,$16.00,304.0,5.5 x 0.9 x 8.4 inches,07/03/12,Simon & Schuster; Reprint edition,A Stolen Life: A Memoir
3932,Amy Poehler ,Paperback,$7.19,9780062268358,$16.99,352.0,6 x 0.8 x 9 inches,09/01/15,Dey Street Books; Reprint edition,Yes Please
3933,Tommy Tomlinson ,Hardcover,$17.70,9781501111617,$27.00,256.0,5.5 x 0.9 x 8.4 inches,01/15/19,Simon & Schuster,The Elephant in the Room: One Fat Man's Quest to Get Smaller in a Growing America
3934,Heather B. Armstrong ,Hardcover,$17.10,9781501197048,$26.00,272.0,6 x 0.9 x 9 inches,04/23/19,Gallery Books,The Valedictorian of Being Dead: The True Story of Dying Ten Times to Live
3935,Rebecca Solnit ,Paperback,$14.76,9780143037248,$18.00,224.0,5 x 0.6 x 7.8 inches,06/27/06,Penguin Books; Reprint edition,A Field Guide to Getting Lost
3936,Antonia Felix and Mimi Leder ,Hardcover,$16.45,9781454933328,$29.95,208.0,9.5 x 0.9 x 11.1 inches,10/09/18,Sterling,The Unstoppable Ruth Bader Ginsburg: American Icon
3937,Jessica Honegger ,Hardcover,$14.01,9780735291294,$25.00,240.0,5.8 x 0.8 x 8.6 inches,08/14/18,WaterBrook,Imperfect Courage: Live a Life of Purpose by Leaving Comfort and Going Scared
3938,Sam Kashner and Nancy Schoenberger ,Hardcover,$18.89,9780062364982,$28.99,336.0,6 x 1.1 x 9 inches,09/25/18,Harper,The Fabulous Bouvier Sisters: The Tragic and Glamorous Lives of Jackie and Lee
3939,David Siegel and Jackie Siegel ,Paperback,$17.96,9781732301610,$19.95,304.0,6.1 x 0.7 x 9.1 inches,03/01/19,"Momosa Publishing, Llc",Victoria's Voice: Our daughter's dying wish to share her diary and save lives from drugs
3940,Rana Awdish ,Hardcover,$14.25,9781250119216,$25.99,272.0,5.8 x 1.2 x 8.7 inches,10/24/17,St. Martin's Press; 1 edition,In Shock: My Journey from Death to Recovery and the Redemptive Power of Hope
3941,John McPhee ,Paperback,$9.48,9780374537975,$15.00,208.0,5.5 x 0.6 x 8.1 inches,09/04/18,"Farrar, Straus and Giroux; Reprint edition",Draft No. 4: On the Writing Process
3942,Rick Bragg ,Hardcover,$19.68,9781400040414,$28.95,512.0,6.6 x 1.5 x 9.6 inches,04/24/18,Knopf,The Best Cook in the World: Tales from My Momma's Table
3943,Edwin Lefèvre and Roger Lowenstein ,Paperback,$15.60,9780471770886,$22.95,288.0,5.4 x 0.9 x 8.3 inches,01/17/06,Wiley; Revised edition,Reminiscences of a Stock Operator
